food_name,gi_value,serving_size_g,available_carbs_g,gl_value,food_category,reference,study_details,usda_fdc_id,usda_food_name,match_score,calories_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,carbohydrates_per_100g,data_source
White wheat bread,75,30,14,11,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,567816,WHITE WHEAT BREAD,1.0,258.0,9.68,4.84,6.5,48.39,USDA FoodData Central (Local Match)
Whole wheat bread,74,30,13,9,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,1110100,WHOLE WHEAT BREAD,1.0,220.0,10.0,3.0,6.0,44.0,USDA FoodData Central (Local Match)
Multigrain bread,48,30,12,6,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,1111779,MULTIGRAIN BREAD,1.0,265.0,8.82,4.41,5.9,50.0,USDA FoodData Central (Local Match)
Sourdough wheat,54,30,14,8,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,561302,SOURDOUGH CRACKED WHEAT BREAD,0.777,244.0,8.89,1.11,2.2,51.11,USDA FoodData Central (Manually Verified)
Rye bread,58,30,12,7,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,402428,RYE BREAD,1.0,260.0,8.0,4.0,4.0,46.0,USDA FoodData Central (Local Match)
Pumpernickel bread,56,30,12,7,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,523765,PUMPERNICKEL BREAD,1.0,281.0,9.38,3.12,6.2,53.12,USDA FoodData Central (Local Match)
Pita bread white,68,30,17,10,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,560122,"WHITE PITA BREAD, WHITE",0.774,235.0,10.59,2.94,0.0,43.53,USDA FoodData Central (Manually Verified)
Pita bread whole wheat,57,30,15,9,Bakery Products,Atkinson 2021,Tested in humans,521923,PITA WHOLE WHEAT,0.814,268.0,10.71,2.68,7.1,51.79,USDA FoodData Central (Local Match)
Tortilla corn,52,50,24,12,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,1139461,"CORN TORTILLA CHIPS, CORN",0.779,500.0,7.14,25.0,7.1,60.71,USDA FoodData Central (Local Match)
Tortilla wheat,30,50,26,8,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,463499,TORTILLA WRAPS,0.7,279.0,6.98,6.98,2.3,44.19,USDA FoodData Central (Local Match)
Hamburger bun,61,30,15,9,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,510682,PLAIN HAMBURGER BUN,0.869,211.0,8.77,0.88,1.8,42.11,USDA FoodData Central (Local Match)
Bagel white,72,70,35,25,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,480491,BAGEL THIN,0.683,165.0,13.53,5.26,3.0,19.55,USDA FoodData Central (Manually Verified)
English muffin,77,57,26,20,Bakery Products,Atkinson 2021,Tested in humans,1137057,ENGLISH MUFFIN,1.0,179.0,11.72,5.52,1.4,22.07,USDA FoodData Central (Local Match)
Croissant,67,57,26,17,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,457066,CROISSANT,1.0,343.0,5.71,11.43,8.6,58.57,USDA FoodData Central (Local Match)
Muffin blueberry,59,57,29,17,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,1113029,"MUFFINS, BLUEBERRY",0.809,329.0,3.53,16.47,0.0,42.35,USDA FoodData Central (Local Match)
Muffin bran,60,57,24,14,Bakery Products,Atkinson 2021,Tested in humans,479326,MUFFIN BARS,0.723,447.0,2.63,21.05,2.6,60.53,USDA FoodData Central (Local Match)
Cake angel food,67,50,29,19,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,356700,ANGEL FOOD CAKE,0.767,304.0,6.52,0.0,2.2,67.39,USDA FoodData Central (Local Match)
Cake pound,54,53,28,15,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,1127797,"POUND CAKE MINIS, POUND",0.724,409.0,4.55,20.45,0.0,52.27,USDA FoodData Central (Local Match)
Cake sponge,46,63,36,17,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,568064,CAKE SINGLE,0.723,397.0,3.85,6.41,1.3,79.49,USDA FoodData Central (Local Match)
Cupcake with frosting,73,38,26,19,Bakery Products,Atkinson 2021,Tested in humans,570621,MINI CUPCAKES WITH FROSTING,0.812,453.0,2.67,21.33,2.7,62.67,USDA FoodData Central (Local Match)
Doughnut cake type,76,47,23,17,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,475611,DOUGHNUT,0.531,400.0,0.0,0.0,0.0,100.0,USDA FoodData Central (Local Match)
Waffles,76,35,13,10,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,360349,WAFFLES,1.0,271.0,4.29,10.0,0.0,41.43,USDA FoodData Central (Local Match)
Pancakes,67,80,58,39,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,359560,PANCAKES,1.0,238.0,4.76,4.76,1.0,43.81,USDA FoodData Central (Local Match)
Crackers water,78,25,18,14,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,369788,WATER CRACKERS,0.7,400.0,6.67,6.67,0.0,73.33,USDA FoodData Central (Manually Verified)
Crackers graham,74,25,18,13,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,677958,"CRACKERS, HONEY GRAHAM",0.718,419.0,6.45,9.68,3.2,80.65,USDA FoodData Central (Manually Verified)
Crackers saltine,74,25,17,13,Bakery Products,Atkinson 2021,Tested in humans,520809,SALTINE CRACKERS UNSALTED TOPS,0.726,400.0,6.67,10.0,6.7,73.33,USDA FoodData Central (Manually Verified)
Rice cakes,82,25,21,17,Bakery Products,Foster-Powell 2002,Tested in 10 subjects,363826,RICE CAKES,1.0,333.0,4.76,2.38,4.8,76.19,USDA FoodData Central (Local Match)
White rice boiled,73,150,43,31,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,567469,WHITE RICE NOODLES,0.76,357.0,3.57,0.0,1.8,83.93,USDA FoodData Central (Local Match)
Brown rice boiled,68,150,42,29,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,586841,BROWN RICE NOODLES,0.76,407.0,7.41,14.81,3.7,66.67,USDA FoodData Central (Local Match)
Basmati white rice,58,150,38,22,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,397315,BASMATI WHITE RICE,1.0,356.0,8.89,0.0,0.0,77.78,USDA FoodData Central (Local Match)
Basmati brown rice,50,150,37,19,Cereal Grains,Atkinson 2021,Tested in humans,396090,ORGANIC BASMATI BROWN RICE,1.0,356.0,8.89,3.33,4.4,75.56,USDA FoodData Central (Local Match)
Jasmine rice,109,150,42,46,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,1121116,JASMINE RICE,1.0,193.0,3.57,2.14,0.0,39.29,USDA FoodData Central (Local Match)
Arborio risotto rice,69,150,43,30,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,375527,ARBORIO RISOTTO RICE,1.0,327.0,5.77,0.0,0.0,78.85,USDA FoodData Central (Local Match)
Instant rice white,87,150,42,36,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,467467,INSTANT ENRICHED WHITE RICE,0.86,356.0,8.89,0.0,2.2,80.0,USDA FoodData Central (Local Match)
